Rk,Name,Pos,Tm,Salary
236,Jimmy Graham\GrahJi00,TE,GNB,"$3,450,000 "
237,Giovani Bernard\BernGi00,RB,CIN,"$3,400,000 "
,Barkevious Mingo\MingBa00,OLB,HOU,"$3,400,000 "
,Abry Jones\JoneAb00,DT,JAX,"$3,400,000 "
240,Nickell Robey-Coleman\RobeNi00,CB,LAR,"$3,300,000 "
241,Johnny Hekker\HekkJo00,P,LAR,"$3,250,000 "
,Tramon Williams\WillTr99,DB,GNB,"$3,250,000 "
,Kareem Martin\MartKa00,DE,NYG,"$3,250,000 "
,Corey Peters\PeteCo00,DT,ARI,"$3,250,000 "
,Cameron Wake\WakeCa00,LB,TEN,"$3,250,000 "
246,Ronnie Stanley\StanRo00,OT,BAL,"$3,243,318 "
247,Myles Garrett\GarrMy00,DE,CLE,"$3,229,750 "
248,Ty Nsekhe\NsekTy00,T,BUF,"$3,200,000 "
,Mason Crosby\CrosMa20,K,GNB,"$3,200,000 "
250,Sam Koch\KochSa20,P,BAL,"$3,150,000 "
251,Ali Marpet\MarpAl00,C,TAM,"$3,125,000 "
252,Darnell Savage\SavaDa00,S,GNB,"$3,120,000 "
253,Carlos Dunlap\DunlCa99,DE,CIN,"$3,100,000 "
254,Ka'imi Fairbairn\FairKa01,K,HOU,"$3,095,000 "
,Matthias Farley\FarlMa00,DB,NYJ,"$3,095,000 "
,Evan Boehm\BoehEv00,C,MIA,"$3,095,000 "
,Trey Hopkins\HopkTr01,G,CIN,"$3,095,000 "
,Anthony Harris\HarrAn01,DB,MIN,"$3,095,000 "
,Shelby Harris\HarrSh00,DE,DEN,"$3,095,000 "
,B.J. Finney\FinnB.01,C,PIT,"$3,095,000 "
,George Fant\FantGe00,T,SEA,"$3,095,000 "
,Daryl Worley\WorlDa00,CB,OAK,"$3,095,000 "
,Jonathan Jones\JoneJo03,DB,NWE,"$3,095,000 "
,Cory Littleton\LittCo01,LB,LAR,"$3,095,000 "
,Robby Anderson\AndeRo04,WR,NYJ,"$3,095,000 "
,Patrick Onwuasor\OnwuPa00,LB,BAL,"$3,095,000 "
,Chester Rogers\RogeCh02,WR,IND,"$3,095,000 "
,Jalen Richard\RichJa01,RB,OAK,"$3,095,000 "
,Michael Pierce\PierMi00,DT,BAL,"$3,095,000 "
270,Quinton Dunbar\DunbQu00,WR,WAS,"$3,000,000 "
,Devin Funchess\FuncDe00,WR,IND,"$3,000,000 "
,Clay Matthews\MattCl99,LB,LAR,"$3,000,000 "
,Jaquiski Tartt\TartJa00,SS,SFO,"$3,000,000 "
,Colt McCoy\McCoCo00,QB,WAS,"$3,000,000 "
,Terrell Suggs\SuggTe99,LB-DE,ARI,"$3,000,000 "
,Ben Watson\WatsBe00,TE,NWE,"$3,000,000 "
,Cordarrelle Patterson\PattCo00,WR,CHI,"$3,000,000 "
,Kareem Jackson\JackKa99,DB,DEN,"$3,000,000 "
,Michael Bennett\BennMi99,DE,NWE,"$3,000,000 "
,Gerald McCoy\McCoGe99,DT,CAR,"$3,000,000 "
,Willie Snead\SneaWi00,WR,BAL,"$3,000,000 "
282,Wesley Woodyard\WoodWe20,LB,TEN,"$2,950,000 "
,Marquise Goodwin\GoodMa00,WR,SFO,"$2,950,000 "
,Tahir Whitehead\WhitTa00,OLB,OAK,"$2,950,000 "
,Jordan Poyer\PoyeJo00,CB,BUF,"$2,950,000 "
,Thomas Morstead\MorsTh00,P,NOR,"$2,950,000 "
287,Leonard Fournette\FourLe00,RB,JAX,"$2,933,258 "
288,Johnathan Joseph\JoseJo20,DB,HOU,"$2,900,000 "
,Bradley McDougald\McDoBr01,FS,SEA,"$2,900,000 "
,Akeem Spence\SpenAk00,DT,PHI,"$2,900,000 "
,Anthony Barr\BarrAn00,OLB,MIN,"$2,900,000 "
292,Marcell Dareus\DareMa00,DT,JAX,"$2,835,000 "
293,Chris Thompson\ThomCh03,RB,WAS,"$2,750,000 "
,Chris Smith\SmitCh03,DE,CLE,"$2,750,000 "
,Allen Bailey\BailAl00,DL,ATL,"$2,750,000 "
,Brandon McManus\McMaBr01,K,DEN,"$2,750,000 "
,Jaron Brown\BrowJa03,WR,SEA,"$2,750,000 "
,Davante Adams\AdamDa01,WR,GNB,"$2,750,000 "
,Senio Kelemete\KeleSe00,T,HOU,"$2,750,000 "
,Matt Ryan\RyanMa00,QB,ATL,"$2,750,000 "
301,Britton Colquitt\ColqBr00,P,MIN,"$2,700,000 "
302,Quandre Diggs\DiggQu00,CB,DET,"$2,657,000 "
303,Jack Conklin\ConkJa00,OT,TEN,"$2,617,862 "
304,Leonard Floyd\FloyLe00,OLB,CHI,"$2,602,208 "
305,Lane Taylor\TaylLa01,G,GNB,"$2,600,000 "
306,Jack Crawford\CrawJa00,DE,ATL,"$2,550,000 "
307,Matthew Bosher\BoshMa00,P,ATL,"$2,545,000 "
308,Eli Apple\ApplEl00,CB,NOR,"$2,516,225 "
309,Terrance Mitchell\MitcTe00,CB,CLE,"$2,500,000 "
,Ben Roethlisberger\RoetBe00,QB,PIT,"$2,500,000 "
,Kyle Long\LongKy00,OT,CHI,"$2,500,000 "
,Johnson Bademosi\BadeJo00,DB,MIA,"$2,500,000 "
,Tashaun Gipson\GipsTa00,DB,HOU,"$2,500,000 "
,Ted Ginn\GinnTe00,WR,NOR,"$2,500,000 "
,Jamon Brown\BrowJa04,OT,ATL,"$2,500,000 "
,Ezekiel Ansah\AnsaEz00,DE,SEA,"$2,500,000 "
,Duron Harmon\HarmDu00,FS,NWE,"$2,500,000 "
,Virgil Green\GreeVi00,TE,LAC,"$2,500,000 "
,Kenny Wiggins\WiggKe00,T,DET,"$2,500,000 "
,Rob Havenstein\HaveRo00,OT,LAR,"$2,500,000 "
,James White\WhitJa02,RB,NWE,"$2,500,000 "
322,Dustin Colquitt\ColqDu20,P,KAN,"$2,450,000 "
,Christian Jones\JoneCh05,ILB,DET,"$2,450,000 "
324,Jon Feliciano\FeliJo00,OG,BUF,"$2,400,000 "
,Lawrence Guy\GuyxLa00,DT,NWE,"$2,400,000 "
,Sam Martin\MartSa01,P,DET,"$2,400,000 "
,Ryan Kalil\KaliRy20,C,NYJ,"$2,400,000 "
,Bobby Massie\MassBo00,T,CHI,"$2,400,000 "
329,Vernon Hargreaves\HargVe00,CB,TAM,"$2,383,317 "
330,Kevin Huber\HubeKe20,P,CIN,"$2,350,000 "
331,Greg Zuerlein\ZuerGr00,K,LAR,"$2,325,000 "
332,Khalil Mack\MackKh00,OLB,CHI,"$2,300,000 "
,Ross Cockrell\CockRo00,CB,CAR,"$2,300,000 "
334,Dustin Hopkins\HopkDu00,K,WAS,"$2,275,000 "
335,Mike Williams\WillMi07,WR,LAC,"$2,260,448 "
336,Xavier Williams\WillXa00,DT,KAN,"$2,257,000 "
337,Ryan Griffin\GrifRy00,TE,NYJ,"$2,250,000 "
,Daryl Williams\WillDa06,OT,CAR,"$2,250,000 "
,Eddie Goldman\GoldEd00,DT,CHI,"$2,250,000 "
,Jordan Phillips\PhilJo01,DT,BUF,"$2,250,000 "
,Buster Skrine\SkriBu00,DB,CHI,"$2,250,000 "
342,Daniel Kilgore\KilgDa00,OL,MIA,"$2,225,000 "
